Выступление|Выступление|Выступление|Лига|Лига|Кубок страны|Кубок страны|Еврокубки[384]|Еврокубки[384]|Прочие[385]|Прочие[385]|Итого|Итого
Клуб|Лига|Сезон|Игры|Голы|Игры|Голы|Игры|Голы|Игры|Голы|Игры|Голы
Мальмё|Аллсвенскан|1999|6|1|—|—|—|—|—|—|6|1
Мальмё|Суперэттан|2000|26|12|3|2|—|—|—|—|29|14
Мальмё|Аллсвенскан|2001|8|3|4|0|—|—|—|—|12|3
Мальмё|Итого|Итого|40|16|7|2|—|—|—|—|47|18
Аякс|Эредивизи|2001/02|24|6|3|1|6|2|—|—|33|9
Аякс|Эредивизи|2002/03|25|13|3|3|13|5|1|0|42|21
Аякс|Эредивизи|2003/04|22|13|1|0|8|2|—|—|31|15
Аякс|Эредивизи|2004/05|3|3|—|—|—|—|1|0|4|3
Аякс|Итого|Итого|74|35|7|4|27|9|2|0|110|48
Ювентус|Серия А|2004/05|35|16|0|0|10|0|—|—|45|16
Ювентус|Серия А|2005/06|35|7|2|0|9|3|1|0|47|10
Ювентус|Итого|Итого|70|23|2|0|19|3|1|0|92|26
Интернационале|Серия А|2006/07|27|15|1|0|7|0|1|0|36|15
Интернационале|Серия А|2007/08|26|17|0|0|7|5|1|0|34|22
Интернационале|Серия А|2008/09|35|25|3|3|8|1|1|0|47|29
Интернационале|Итого|Итого|88|57|4|3|22|6|3|0|117|66
Барселона|Примера|2009/10|29|16|2|1|10|4|4|0|45|21
Барселона|Примера|2010/11|—|—|—|—|—|—|1|1|1|1
Барселона|Итого|Итого|29|16|2|1|10|4|5|1|46|22
Милан|Серия А|2010/11|29|14|4|3|8|4|—|—|41|21
Милан|Серия А|2011/12|32|28|3|1|8|5|1|1|44|35
Милан|Итого|Итого|61|42|7|4|16|9|1|1|85|56
Пари Сен-Жермен|Лига 1|2012/13|34|30|2|2|9|3|1|0|46|35
Пари Сен-Жермен|Лига 1|2013/14|33|26|2|3|8|10|3|2|46|41
Пари Сен-Жермен|Лига 1|2014/15|24|19|3|4|6|2|4|5|37|30
Пари Сен-Жермен|Лига 1|2015/16|31|38|6|7|10|5|4|0|51|50
Пари Сен-Жермен|Итого|Итого|122|113|13|16|33|20|12|7|180|156
Манчестер Юнайтед|Премьер-лига|2016/17|28|17|1|1|11|5|6|5|46|28
Манчестер Юнайтед|Премьер-лига|2017/18|5|0|0|0|1|0|1|1|7|1
Манчестер Юнайтед|Итого|Итого|33|17|1|1|12|5|7|6|53|29
Лос-Анджелес Гэлакси|MLS|2018|27|22|0|0|—|—|—|—|27|22
Лос-Анджелес Гэлакси|MLS|2019|31|31|0|0|—|—|—|—|31|31
Лос-Анджелес Гэлакси|Итого|Итого|58|53|0|0|—|—|—|—|58|53
Милан|Серия А|2019/20|18|10|2|1|—|—|—|—|20|11
Милан|Серия А|2020/21|19|15|2|1|6|1|—|—|27|17
Милан|Итого|Итого|37|25|4|2|6|1|—|—|47|28
Всего за карьеру|Всего за карьеру|Всего за карьеру|612|397|47|33|145|57|31|15|835|502
