0|1|2|3|4|5|6|7|8|9|10|11|12
Бой|Весовая категория|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Участники боёв и их статистика в ММА|Прим.
||Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|Главный кард (Main Event, ESPN/ESPN+)|
1|Средний вес|Юрая Холл (Uriah Hall)|#8|17-9 MMA, 10-7 UFC|4 победы|vs.|Шон Стрикленд (Sean Strickland)|#11|23-3 MMA, 10-3 UFC|4 победы|[3][2]|
|Легчайший вес|Кан Кён Хо (Kyung Ho Kang)||17-8 (1) MMA, 6-2 (1) UFC|3 победы|vs.|Рани Яхья (Rani Yahya)▼||27-10-1 (1) MMA, 12-4-1 (1) UFC|1 победа|[4][5]|Положительный тест на Covid-19 у Яхья
3|Жен. минимальный вес|Шейэнн Бэйс (Cheyanne Buys)||5-2 MMA, 0-1 UFC|1 пораж.|vs.|Глория ди Паула (Gloria de Paula)||5-3 MMA, 0-1 UFC|1 пораж.|[6][7]|
4|Полусредний вес|Никлас Штольце (Niklas Stolze)||12-4 MMA, 0-1 UFC|1 пораж.|vs.|Джаред Гуден (Jared Gooden)▲||17-6 MMA, 0-2 UFC|2 пораж.|[8][9]|
5|Полулёгкий вес|Коллин Энглин (Collin Anglin)|д|8-1 MMA, 0-0 UFC|7 побед|vs.|Мелсик Багдасарян (Melsik Baghdasaryan)|д|5-1 MMA, 0-0 UFC|5 побед|[10][11]|
6|Полусредний вес|Брайан Барберена (Bryan Barberena)||15-7 MMA, 6-5 UFC|1 победа|vs.|Джейсон Уитт (Jason Witt)||18-7 MMA, 1-2 UFC|1 пораж.|[12][13]|
||Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|Предварительный кард (Preliminary Card, ESPN/ESPN+)|
|Жен. легчайший вес|Никко Монтаньо (Nicco Montaño)▼||4-3 MMA, 1-1 UFC|1 пораж.|vs.|У Янань (Yanan Wu)||11-4 MMA, 1-3 UFC|2 пораж.|[14][15]|Монтаньо провалила взвешивание
