Ник|Настоящее имя|Страна|Команда|Дисциплина|Карьера
s1mple|Костылев, Александр|Украина|Natus Vincere|Counter-Strike: Global Offensive|2013 — н. в.
Zeus|Тесленко, Даниил|Украина||Counter-Strike, Counter-Strike: Global Offensive|2002—2019
device|Ридтц, Николай|Дания|Astralis|Counter-Strike: Global Offensive|2009 — н. в.
kennyS|Шраб, Кенни|Франция|G2 Esports|Counter-Strike: Global Offensive|2009 — н. в.
Boombl4|Михайлов, Кирилл|Россия|Natus Vincere|Counter-Strike: Global Offensive|2016 — н. в.
GuardiaN|Ковач, Ладислав|Словакия|Trident Clan|Counter-Strike: Global Offensive|2009 — н. в.
flamie|Васильев, Егор|Россия|Natus Vincere|Counter-Strike: Global Offensive|2013 — н. в.
electronic|Денис Шарипов|Россия|Natus Vincere|Counter-Strike: Global Offensive|2015 — н. в.
Perfecto|Илья Залуцкий|Россия|Natus Vincere|Counter-Strike: Global Offensive|2018 — н. в.
Hobbit|Абай Хасенов|Казахстан|Gambit|Counter-Strike: Global Offensive|2015 — н.в.
AdreN|Даурен Кыстаубаев|Казахстан|K23|Counter-Strike: Global Offensive|2004 — н. в.
Edward|Иоанн Сухарев|Украина|KHAN|Counter-Strike: Global Offensive|2001 — н. в.
xyp9x|Андреас Хёйслет|Дания|Astralis|Counter-Strike: Global Offensive|2011 — н. в.
dupreeh|Питер Расмуссен|Дания|Astralis|Counter-Strike: Global Offensive|2012 — н. в.
cyx|Антонио Данилоски|Германия||Counter-Strike: Global Offensive|2006—2010
Tango|Джамал Абдуллаев|Россия|SMARACIS Esports|Rocket League|2015 — н. в.
stermy|Алессандро Аваллоне|Италия||Quake: III, 4, Live, Champions|2002—2007, 2009—2013, 2017
GeT_RiGhT|Кристофер Алесунд|Швеция||Counter-Strike: Global Offensive|2007—2021
Strenx|Кевин Баеза|Франция||Quake: III, Live, Champions|2008—2018
Hantigr_4|Хан Балабеков|Россия|Анжи|FIFA|2014 — н. в.
Kr0ne|Джошуа Бегер|Германия||FIFA|
Pavel|Павел Бельтюков|Россия||Hearthstone|2014 — н. в.
Solo|Алексей Березин|Россия|Natus Vincere|Dota 2|2012 — н. в.
Kane|Михаил Благин|Украина||Counter-Strike: Global Offensive|2011—2019
InFi|Ван Сюйвэнь|Китай||Warcraft III|2006 — н. в.
JW|Йеспер Вексель|Швеция|fnatic|Counter-Strike: Global Offensive|2021 — н. в.
Kira|Михаил Гармаш|Украина|Gambit.CIS|League of Legends|2014 — н. в.
Insomnia|Здравко Георгиев|Болгария||Warcraft III|2001—2007
Timo|Андрей Гурьев|Россия|Локомотив|FIFA|2013 — н. в.
hero|Даниэль Шеллхасе|Германия||FIFA|2002—2010
styla|Деннис Шеллхасе|Германия||FIFA|2002—2010
XBOCT|Александр Дашкевич|Украина||DotA, Dota 2|2009—2018
|Алан Енилеев|Россия||Need for Speed|2006—2008
Dendi|Данил Ишутин|Украина|B8 Esports|DotA, Dota 2|2006 — н. в.
Vo0|Сандер Каасъягер|Нидерланды||Quake: III, Live, Champions, Painkiller, Rocket Arena|2004—2005 2007—2013 2015 2017—2018
olofmeister|Олоф Кайбер|Швеция|FaZe Clan|Counter-Strike: Global Offensive|2009 год — н. в.
Nal_rA|Кан Мин|Республика Корея||StarCraft: Brood War|2002—2008
