Русское название|Латинское название (именительный падеж)|Латинское название (родительный падеж)|Сокра-щение|Площадь (кв. градусы)|Число звёзд ярче 6,0m[8]|Кем описано
Андромеда|Andrómeda|Andrómedae|And|722|100|Птолемей
Близнецы|Gémini|Geminórum|Gem|514|70|Птолемей
Большая Медведица|Úrsa Májor|Úrsae Majóris|UMa|1280|125|Птолемей
Большой Пёс|Cánis Májor|Cánis Majóris|CMa|380|80|Птолемей
Весы|Líbra|Líbrae|Lib|538|50|Птолемей
Водолей|Aquárius|Aquárii|Aqr|980|90|Птолемей
Возничий|Auríga|Aurígae|Aur|657|90|Птолемей
Волк|Lúpus|Lúpi|Lup|334|70|Птолемей
Волопас|Boótes|Boótis|Boo|907|90|Птолемей
Волосы Вероники|Cóma Bereníces|Cómae Bereníces|Com|386|50|Тихо Браге
Ворон|Córvus|Córvi|Crv|184|15|Птолемей
Геркулес|Hércules|Hérculis|Her|1225|140|Птолемей
Гидра|Hýdra|Hýdrae|Hya|1303|130|Птолемей
Голубь|Colúmba|Colúmbae|Col|270|40|Планциус
Гончие Псы|Cánes Venátici|Cánum Venaticórum|CVn|465|30|Гевелий
Дева|Vírgo|Vírginis|Vir|1294|95|Птолемей
Дельфин|Delphínus|Delphíni|Del|189|30|Птолемей
Дракон|Dráco|Dracónis|Dra|1083|80|Птолемей
Единорог|Monóceros|Monocerótis|Mon|482|85|Планциус
Жертвенник|Ára|Árae|Ara|237|30|Птолемей
Живописец|Píctor|Pictóris|Pic|247|30|Лакайль
Жираф|Camelopárdalis|Camelopárdalis|Cam|757|50|Планциус
Журавль|Grus|Grúis|Gru|366|30|Байер
Заяц|Lépus|Léporis|Lep|290|40|Птолемей
Змееносец|Ophiúchus|Ophiúchi|Oph|948|100|Птолемей
Змея|Sérpens|Serpéntis|Ser|637[9]|60|Птолемей
Золотая Рыба|Dorádo|Dorádus|Dor|179|20|Байер
Индеец|Índus|Índi|Ind|294|20|Байер
Кассиопея|Cassiopéia|Cassiopéiae|Cas|598|90|Птолемей
Киль|Carína|Carínae|Car|494|110|Лакайль
Кит|Cétus|Céti|Cet|1231|100|Птолемей
Козерог|Capricórnus|Capricórni|Cap|414|50|Птолемей
Компас|Pýxis|Pýxidis|Pyx|221|25|Лакайль
Корма|Púppis|Púppis|Pup|673|140|Лакайль
Лебедь|Cýgnus|Cýgni|Cyg|804|150|Птолемей
Лев|Léo|Leónis|Leo|947|70|Птолемей
Летучая Рыба|Vólans|Volántis|Vol|141|20|Байер
Лира|Lýra|Lýrae|Lyr|286|45|Птолемей
Лисичка|Vulpécula|Vulpéculae|Vul|268|45|Гевелий
Малая Медведица|Úrsa Mínor|Úrsae Minóris|UMi|256|20|Птолемей
Малый Конь|Equúleus|Equúlei|Equ|72|10|Птолемей
Малый Лев|Léo Mínor|Leónis Minóris|LMi|232|20|Гевелий
Малый Пёс|Cánis Mínor|Cánis Minóris|CMi|183|20|Гевелий
Микроскоп|Microscópium|Microscópii|Mic|210|20|Лакайль
Муха|Músca|Múscae|Mus|138|30|Байер
Насос|Ántlia|Ántliae|Ant|239|20|Лакайль
Наугольник|Nórma|Nórmae|Nor|165|20|Лакайль
Овен|Áries|Aríetis|Ari|441|50|Птолемей
Октант|Óctans|Octántis|Oct|291|35|Лакайль
Орёл|Áquila|Áquilae|Aql|652|70|Птолемей
Орион|Oríon|Oriónis|Ori|594|120|Птолемей
Павлин|Pávo|Pavónis|Pav|378|45|Байер
Паруса|Véla|Velórum|Vel|500|110|Лакайль
Пегас|Pégasus|Pégasi|Peg|1121|100|Птолемей
Персей|Pérseus|Pérsei|Per|615|90|Птолемей
Печь|Fórnax|Fornácis|For|398|35|Лакайль
Райская Птица|Ápus|Ápodis|Aps|206|20|Байер
Рак|Cáncer|Cáncri|Cnc|506|60|Птолемей
Резец|Cáélum|Cáéli|Cae|125|10|Лакайль
Рыбы|Písces|Píscium|Psc|889|75|Птолемей
Рысь|Lynx|Lýncis|Lyn|545|60|Гевелий
Северная Корона|Coróna Boreális|Corónae Boreális|CrB|179|20|Птолемей
Секстант|Séxtans|Sextántis|Sex|314|25|Гевелий
Сетка|Retículum|Retículi|Ret|114|15|Лакайль
Скорпион|Scórpius|Scórpii|Sco|497|100|Птолемей
Скульптор|Scúlptor|Sculptóris|Scl|475|30|Лакайль
Столовая Гора|Ménsa|Ménsae|Men|153|15|Лакайль
Стрела|Sagítta|Sagíttae|Sge|80|20|Птолемей
Стрелец|Sagittárius|Sagittárii|Sgr|867|115|Птолемей
Телескоп|Telescópium|Telescópii|Tel|252|30|Лакайль
Телец|Táurus|Táuri|Tau|797|125|Птолемей
Треугольник|Triángulum|Triánguli|Tri|132|15|Птолемей
Тукан|Tucána|Tucánae|Tuc|295|25|Байер
Феникс|Phóénix|Phóénicis|Phe|469|40|Байер
Хамелеон|Chamáéleon|Chamaeleóntis|Cha|132|20|Байер
