Партия|Партия.1|Голоса|%|Места|+/-
|Либеральная партия|204 243|331|74|+4
|Рабочая партия|198 111|321|19|-4
|Консервативная партия|179 028|290|20|0
|Левая либеральная партия|179 028|290|1|-4
|Рабочие демократы|25 658|42|6|0
|Норвежская аграрная ассоциация|6 351|10|1|новая
|Партия воздержания|3 820|01|0|0
|Кандидаты за мир|413|01|0|новая
|Независимые|-|-|2|новая
|Прочие голоса|46|00|0|-
Недействительных/пустых бюллетеней|Недействительных/пустых бюллетеней|8 285|-|-|-
Всего|Всего|625 955|100|123|0
Зарегистрированных избирателей / Явка|Зарегистрированных избирателей / Явка|1 086 657|576|-|-
Источники: Nohlen & Stöver|Источники: Nohlen & Stöver|Источники: Nohlen & Stöver|Источники: Nohlen & Stöver|Источники: Nohlen & Stöver|Источники: Nohlen & Stöver
