Партия|Партия|Голосов|Голосов|Голосов|Мест|Мест
Партия|Партия.1|#|%|±|#|±
|Рабочая партия|761 581|26,4 %|-1,0 %|48|-1
|Консервативная партия|590 781|20,5 %|-4,6 %|36|-9
|Партия Центра|392 454|13,6 %|+3,3 %|28|+9
|Партия прогресса|338 259|11,7 %|-3,5 %|21|-6
|Социалистическая левая партия|216 289|7,5 %|+1,4 %|13|+2
|Красные|135 720|4,7 %|+2,3 %|8|+7
|Либеральная партия|129553|4.5 %|+0.1 %|8|-
|Партия зелёных|111 117|3,8 %|+0,6 %|3|+2
|Христианская народная партия|110 115|3,8 %|-0,4 %|3|-5
|Демократы в Норвегии|33 338|1,2 %|+1,0 %|0|0
|Партия пенсионеров|18 717|0,6 %|+0,2 %|0|0
|Христиане|10 185|0,4 %|+0,1 %|0|0
|Партия промышленности и бизнеса|9 769|0,3 %|+0,3 %|0|новая
|Центристская партия|7 543|0,3 %|+0,3 %|0|новая
|Партия здоровья|6 313|0,2 %|-0,1 %|0|0
|Фокус на пациенте|4 908|0,2 %|+0,2 %|1|новая
|Капиталистическая партия|4 325|0,1 %|-|0|0
|Народное действие Нет платным дорогам|3 357|0,1 %|+0,1 %|0|новая
|Альянс — Альтернатива для Норвегии|2 418|0,1 %|+0,1 %|0|0
|Пиратская партия|2 259|0,1 %|-|0|0
|Коммунистическая партия|303|0,0 %|-|0|0
|Феминистская инициатива|275|0,0 %|-|0|0
|Партия поколения|172|0,0 %|-0.1 %|0|новая
|Береговая партия|167|0,0 %|-|0|0
|Спасти природу|96|0,0 %|-|0|новая
Всего|Всего||100.0|-|169|±0
Недействительных/пустых бюллетеней|Недействительных/пустых бюллетеней|18 447|||-|-
Зарегистрированных избирателей / Явка|Зарегистрированных избирателей / Явка|3 891 736|76,5 %||-|-
Источник: valgresultat.no|Источник: valgresultat.no|Источник: valgresultat.no|Источник: valgresultat.no|Источник: valgresultat.no|Источник: valgresultat.no|Источник: valgresultat.no
