Дата|Русское название[193]|Эстонское название[194]
6 января|Праздник Трёх королей (Богоявление)|Kolmekuningapäev
2 февраля|Годовщина подписания Тартуского мирного договора[195]|Tartu rahulepingu aastapäev
14 марта|День родного языка|Emakeelepäev
второе воскресенье мая|День матери|Emadepäev
4 июня|День эстонского флага|Eesti lipu päev
14 июня|День траура|Leinapäev
23 августа|День памяти жертв коммунизма и нацизма|Kommunismi ja natsismi ohvrite mälestuspäev
второе воскресенье сентября|День бабушек и дедушек|Vanavanemate päev
22 сентября|День сопротивления|Vastupanuvõitluse päev
третья суббота октября|День родственных народов|Hõimupäev
2 ноября|День поминовения усопших|Hingedepäev
второе воскресенье ноября|День отца|Isadepäev
16 ноября|День возрождения|Taassünni päev
