Нерабочие дни в Чили|Нерабочие дни в Чили|Нерабочие дни в Чили|Нерабочие дни в Чили|Нерабочие дни в Чили
Дата|Название|Оригинальное название|Характер|Примечания
1 января[86]|Новый год|Año Nuevo|Гражданский|Обязательный[87]
март-апрель[к 2]|Великая пятница[86]|Viernes Santo|Религиозный|
март-апрель[к 2]|Великая суббота[86]|Sábado Santo|Религиозный|
1 мая[88][89]|День труда|Día del Trabajo|Гражданский|Обязательный праздник, дата не изменяется[87][90]
21 мая[86]|День Военно-морского флота Чили|Día de las Glorias Navales|Гражданский|
29 июня[86][91]|День Петра и Павла|San Pedro y San Pablo|Религиозный|Переносится к ближайшим выходным, если он выпадает в промежуток между вторником и пятницей[92]
16 июля[93]|День Богоматери Кармельской|Día de la Virgen del Carmen|Религиозный|
15 августа[86]|Вознесение Девы Марии|Asunción de la Virgen|Религиозный|
18 сентября[86]|День памяти первого правительства|Primera Junta Nacional de Gobierno|Гражданский|Обязательный праздник, дата не изменяется[87]
19 сентября[86]|День армии|Día de las Glorias del Ejército de Chile|Гражданский|Обязательный праздник, дата не изменяется[94]
12 октября[95][96]|День Колумба[92][к 3]|Descubrimiento de Dos Mundos|Гражданский|Переносится к ближайшим выходным, если выпадает в промежуток между вторником и пятницей[92]
31 октября[97]|День Реформации|Día Nacional de las Iglesias Evangélicas y Protestantes|Религиозный|
1 ноября[86]|Собор всех святых|Día de Todos los Santos|Религиозный|
8 декабря[86]|Непорочное зачатие Девы Марии|Inmaculada Concepción|Религиозный|
25 декабря[86]|Рождество Христово|Navidad|Религиозный|Обязательный[87]
