Частота вещания|Название радиостанции
69,14 УКВ|Радио Маяк
70,85 УКВ|Ретро FM
88,3 МГц|Радио Комсомольская правда
88,7 МГц|Радио Звезда
89,6 МГц|Радио ENERGY
90,0 МГц|Новое Радио
90,4 МГц|Радио Книга
90,8 МГц|Радио Вера
91,2 МГц|Радио Шансон
91,6 МГц|Радио Дача
101,0 МГц|Эхо Москвы
101,4 МГц|Радио Маяк
101,8 МГц|Studio 21
102,2 МГц|Европа Плюс
102,5 МГц|Love Radio
102,9 МГц|Мария FM
103,4 МГц|Авторадио
103,9 МГц|Русское радио
104,3 МГц|Радио Ваня
104,9 МГц|Ретро FM
105,3 МГц|Вести FM
106,3 МГц|Радио России / ГТРК Вятка
106,7 МГц|Дорожное радио
107,9 МГц|Детское радио
