Партия|Процент голосов|Получено мест
Новый фламандский альянс|20,3 %|33
Социалистическая партия (Французское сообщество)|11,7 %|23
Христианские демократы и фламандцы|11,6 %|18
Открытые фламандские либералы и демократы|9,8 %|14
Реформаторское движение|9,6 %|20
Социалистическая партия (Фландрия)|8,8 %|13
Зелёные!|5,3 %|6
Гуманистический демократический центр|5,0 %|9
Партия труда Бельгии|3,7 %|2
Фламандский интерес|3,7 %|3
Эколо|3,3 %|6
DéFI (фр.)русск.|1,8 %|2
Народная партия (фр.)русск.|1,5 %|1
прочие|7,2 %|—
