Год|ВВП (ППС)(в млрд Долл. США)|ВВП на душу населения (ППС)(в долл. США)|Рост ВВП (реальный)|Уровень инфляции(в процентах)|Безработица(в процентах)|Государственный долг (в процентах от ВВП)
1980|1993|31 620|▲5,1 %|▲4,0 %|0,2 %|н/д
1981|▲214,0|▲33 767|▲1,6 %|▲6,5 %|▬0,2 %|н/д
1982|▲226,5|▲35 546|▼−1,3 %|▲5,7 %|▲0,4 %|н/д
1983|▲233,6|▲36 441|▲0,6 %|▲3,0 %|▲0,9 %|н/д
1984|▲249,7|▲38 846|▲3,1 %|▲2,9 %|▲1,1 %|н/д
1985|▲264,8|▲41 020|▲3,7 %|▲3,4 %|▼1,0 %|н/д
1986|▲277,8|▲42 844|▲1,9 %|▲0,7 %|▼0,8 %|н/д
1987|▲288,3|▲44 209|▲1,6 %|▲1,4 %|▬0,8 %|н/д
1988|▲306,4|▲46 652|▲3,3 %|▲1,9 %|▼0,7 %|н/д
1989|▲330,8|▲49 970|▲4,4 %|▲3,2 %|▼0,6 %|н/д
1990|▲358,4|▲53 705|▲3,6 %|▲5,4 %|▼0,5 %|34,4 %
1991|▲374,5|▲55 432|▼−0,8 %|▲5,9 %|▲1,0 %|▲36,1 %
1992|▲381,8|▲55 808|▼−0,2 %|▲4,0 %|▲2,5 %|▲40,9 %
1993|▲390,3|▲56 507|▼−0,1 %|▲3,2 %|▲4,5 %|▲46,7 %
1994|▲400,3|▲57 439|▲2,4 %|▲2,7 %|▲4,7 %|▲50,1 %
1995|▲405,3|▲57 745|▲0,5 %|▲1,8 %|▼4,2 %|▲52,9 %
1996|▲408,2|▲57 792|▲0,6 %|▲0,8 %|▲4,7 %|▲54,4 %
1997|▲415,8|▲58 733|▲2,3 %|▲0,5 %|▲5,2 %|▲57,2 %
1998|▲427,4|▲60 238|▲2,9 %|▲0,0 %|▼3,9 %|▲59,6 %
1999|▲435,2|▲61 087|▲1,7 %|▲0,8 %|▼2,7 %|▼55,9 %
2000|▲459,7|▲64 173|▲4,0 %|▲1,6 %|▼1,8 %|▼54,7 %
2001|▲470,3|▲65 341|▲1,3 %|▲1,0 %|▼1,7 %|▼52,9 %
2002|▲471,1|▼64 968|▲0,2 %|▲0,6 %|▲2,5 %|▲59,1 %
2003|▲475,6|▲65 025|▲0,1 %|▲0,6 %|▲3,7 %|▼58,2 %
2004|▲489,6|▲66 483|▲2,6 %|▲0,8 %|▲3,9 %|▲59,6 %
2005|▲508,9|▲68 636|▲3,2 %|▲1,2 %|▼3,8 %|▼56,8 %
2006|▲540,5|▲72 465|▲4,1 %|▲1,1 %|▼3,3 %|▼50,5 %
2007|▲576,4|▲76 763|▲4,1 %|▲0,7 %|▼2,8 %|▼46,5 %
2008|▲599,8|▲78 991|▲2,1 %|▲2,4 %|▼2,6 %|▼46,8 %
2009|▼589,4|▼76 530|▼−2,2 %|▼−0,5 %|▲3,7 %|▼45,2 %
2010|▲608,2|▲78 121|▲2,9 %|▲0,7 %|▼3,5 %|▼44,0 %
2011|▲621,3|▲78 946|▲1,8 %|▲0,2 %|▲2,8 %|▲44,1 %
2012|▲626,2|▲78 723|▲1,0 %|▼−0,7 %|▲2,9 %|▲44,7 %
2013|▲638,3|▲79 404|▲1,8 %|▼−0,2 %|▲3,2 %|▼43,8 %
2014|▲649,8|▲79 827|▲2,5 %|▲0,0 %|▼3,0 %|▼43,7 %
2015|▲653,7|▼79 346|▲1,2 %|▼−1,1 %|▲3,2 %|▼43,6 %
2016|▲659,0|▼79 137|▲1,4 %|▼−0,4 %|▬3,2 %|▼43,3 %
2017|▲668,1|▲79 357|▲1,1 %|▲0,5 %|▬3,2 %|▼42,8 %
