Обозначение|||||
Истребители|||||
Обозначение|Изображение|Краткое описание|Годначалавыпуска|Производитель|Прибылов СССР,шт.
P-40|150px|Истребители Curtiss P-40 стали первыми самолётами американского производства, поставленными в СССР по программе ленд-лиза, и были известны под названиями «Томагаук» и «Киттихаук» Котельников 2015 .|1936|Curtiss-Wright|2134
P-39 Airacobra|150px|P-39 («Аэрокобра») — самый массовый из всех типов самолётов, поставленных в СССР по ленд-лизу. Первые 11 самолётов прибыли в СССР из Великобритании в конце 1941 года. Всего США отправили в СССР 4746 самолётов, ещё 212 были отправлены из Великобритании из числа уже бывших там в эксплуатации. До СССР добрались 4952 самолёта, при этом в боях было сбито 2202 истребителя Котельников 2015 .|1940|Bell Aircraft|4952
P-63 Kingcobra|150px|P-63 («Кингкобра», поставки которого начались в июне 1944 года по Алсибу) вводить в состав действующих частей ВВС СССР не торопились. После капитуляции Германии самолёты были направлены в Забайкалье, где приняли участие в боях с Японией Котельников 2015 .|1942|Bell Aircraft|2400
P-47 Thunderbolt|150px|Первые три истребителя P-47 «Тандерболт» были переданы советской стороне по особой просьбе руководителя советской военной миссии в США в октябре 1943 года. В боях «Тандерболт» практически не участвовал и к середине 1946 года был снят с вооружения ВВС Котельников 2015 .|1942|Republic Aviation|195
P-51 Mustang|150px|10 истребителей P-51 «Мустанг» были поставлены в СССР из Великобритании с целью изучения возможностей данной модели. 2 истребителя прибыли в декабре 1941 года, остальные 8 — в мае 1942 года, обе партии с помощью северных конвоев Котельников 2015 .|1941|North American Aviation|10
Бомбардировщик и|||||
A-20 Havoc/DB-7 Boston|150px|Дуглас А-20 (он же «Бостон», «Хэвок»). Первые 44 самолёта A-20 были отгружены из США до конца 1941 года: 3 машины пришли с северными конвоями, остальные — через Иран. В полках ВВС СССР самолёты получили кодировку Б-3 «Бостон». По сравнению с отечественным Пе-2 , «Бостон» прощал ошибки пилотирования и возвращался на аэродром при потере одного из двигателей. Самолёты поставлялись тремя основными маршрутами ленд-лиза. Однако, по ходу войны поставки стали постепенно сокращаться: если в 1943 году было получено 1360 самолётов, в 1944-м — 743, а в 1945-м году — только 1. На 1 мая 1945 года в строю оставалось 935 «Бостонов» Котельников 2015 .|1939|Douglas Aircraft|2771
B-25 Mitchell|150px|В декабре 1941 года северными конвоями в СССР были доставлены первые 4 бомбардировщика B-25. После выявленных недостатков самолёты, начавшие прибывать в СССР через Иран, были дополнительно оборудованы антиобледенительными устройствами. С конца 1942 года поставки пошли исключительно по Алсиб у. По окончании войны часть самолётов, которые подлежали возврату по условиям ленд-лиза, были уничтожены под контролем американцев Котельников 2015 .|1941|North American Aviation|861
Другие типы самолётов|||||
Douglas C-47|150px|Поставки военного варианта самолёта DC-3 — С-47 «Скайтрейн» начались в октябре 1942 года по Алсибу. Внешне самолёты, поставленные по ленд-лизу не отличались от Ли-2, производившихся в СССР по лицензии. Поставки самолётов продолжались вплоть до окончания войны с Японией. После войны часть самолётов была переоборудована в пассажирские Котельников 2015 .|1941|Douglas Aircraft|707
PBY Catalina|150px|Первые 25 самолётов PBN-1 «Номад» (которые по привычке именовали «Каталинами») доставлялись в два этапа через Великобританию в июне 1944 года, следующие партии шли на Тихоокеанский флот через Аляску и на Черноморский и Балтийский флоты — через Иран. Ни одна из летающих лодок не была возвращена США по окончании войны Котельников 2015 .|1936|Consolidated Aircraft Corporation|185
T-6 Texan|150px|Первые 8 самолётов AT-6C «Тексан» прибыли с северными конвоями, ещё 20 — через иранский коридор. Самолёты предназначались для подготовки и переподготовки лётчиков СССР на импортную авиатехнику. В марте 1945 года СССР заказал ещё 600 самолётов, однако США согласились поставить только 225. Поставка началась по Алсиб у и продолжались до окончания японской кампании. В СССР успели прибыть 54 самолёта Котельников 2015 .|1937|North American Aviation|82
Curtiss O-52 Owl|150px|В ходе переговоров было принято решение о поставке 30 морально устаревших самолётов «Кёртис». На протяжении 1941—1942 года до СССР добрались лишь 19 из них. За годы войны были потеряны (сбиты либо потерпели крушения) 13 самолётов. К маю 1945 года в строю осталось 4 из которых только один самолёт «сова» находился в составе действующей армии Котельников 2015 .|1941|Curtiss-Wright|19
