Тяжёлый вес|Тяжёлый вес.1|Тяжёлый вес.2|Полутяжёлый вес|Полутяжёлый вес.1|Полутяжёлый вес.2|Средний вес|Средний вес.1|Средний вес.2|Полусредний вес|Полусредний вес.1|Полусредний вес.2|Лёгкий вес|Лёгкий вес.1|Лёгкий вес.2|Полулёгкий вес|Полулёгкий вес.1|Полулёгкий вес.2
Ч|Франсис Нганну|чмп|Ч|Ян Блахович|чмп|Ч|Исраэль Адесанья|чмп|Ч|Камару Усман|чмп|Ч|Шарлис Оливейра||Ч|Александр Волкановски|чмп
|||||||||||||||||
1|Стипе Миочич||1|Гловер Тейшейра||1|Роберт Уиттакер||1|Колби Ковингтон||1|Дастин Пуарье||1|Макс Холлоуэй|
2|Деррик Льюис||2|Иржи Прохазка||2|Паулу Коста||2|Гилберт Бёрнс||2|Джастин Гейджи||2|Брайан Ортега|
3|Сириль Ган||3|Александр Ракич||3|Джаред Каннонье||3|Леон Эдвардс||3|Бенеил Дариюш||3|Яир Родригес|
4|Кёртис Блейдс||4|Тиагу Сантус||4|Марвин Веттори||4|Стивен Томпсон||4|Майкл Чендлер||4|Чон Чхан Сон|
5|Александр Волков||5|Доминик Рейес||5|Дерек Брансон||5|Майкл Кьеза||5|Ислам Махачев||5|Кэлвин Каттар|
6|Жаирзиньо Розенстрайк||6|Энтони Смит||6|Джек Херманссон||6|Висенте Луке||6|Тони Фергюсон||6|Арнольд Аллен|
7|Шамиль Абдурахимов||7|Магомед Анкалаев||7|Даррен Тилл||7|Хорхе Масвидаль||7|Рафаэл дус Анжус||7|Джош Эмметт|
8|Марчин Тыбура||8|Волкан Оздемир||8|Шон Стрикленд (+)|▲3|8|Нил Магни||8|Дэн Хукер||8|Дэн Иге|
9|Аугусту Сакаи||9|Никита Крылов||9|Келвин Гастелум||9|Белал Мухаммад||9|Конор Макгрегор||9|Эдсон Барбоза|
10|Крис Докос||10|Джонни Уокер||10|Юрая Холл (+)|▼2|10|Джефф Нил||10|Грегор Гиллеспи||10|Гига Чикадзе|
11|Уолт Харрис|▲1|11|Райан Спэнн||11|Эдмен Шахбазян|▼1|11|Демиан Майя||11|Кевин Ли||11|Брайс Митчелл|
12|Благой Иванов|▼1|12|Пол Крейг||12|Крис Вайдман||12|Ли Цзинлян||12|Карлус Диегу Феррейра||12|Содик Юсуфф|
13|Том Аспинэлл||13|Миша Циркунов||13|Брэд Таварес||13|Сантьяго Понциниббио||13|Брэд Ридделл||13|Мовсар Евлоев|
14|Сергей Спивак||14|Джимми Крут||14|Кевин Холланд||14|Шон Брэди||14|Арман Царукян||14|Шейн Бургос|
15|Сергей Павлович||15|Джамаал Хилл||15|Андре Мунис||15|Муслим Салихов||15|Тиагу Мойзес||15|Илия Топурия|
|||||||||||||||||
Легчайший вес|Легчайший вес|Легчайший вес|Наилегчайший вес|Наилегчайший вес|Наилегчайший вес|Жен. полулёгкий вес|Жен. полулёгкий вес|Жен. полулёгкий вес|Жен. легчайший вес|Жен. легчайший вес|Жен. легчайший вес|Жен. наилегчайший вес|Жен. наилегчайший вес|Жен. наилегчайший вес|Жен. минимальный вес|Жен. минимальный вес|Жен. минимальный вес
Ч|Алджамейн Стерлинг|чмп|Ч|Брэндон Морено||Ч|Аманда Нунис|чмп|Ч|Аманда Нунис|чмп|Ч|Валентина Шевченко|чмп|Ч|Роуз Намаюнас|чмп
|||||||||||||||||
1|Петр Ян||1|Дейвисон Фигейреду|||||1|Жермейн де Рандами||1|Жессика Андради||1|Чжан Вэйли|
2|Ти Джей Диллашоу||2|Аскар Аскаров|||||2|Холли Холм||2|Кэтлин Чукагян||2|Йоанна Енджейчик|
3|Кори Сэндхэген||3|Алешандри Пантожа|||||3|Аспен Лэдд||3|Лорен Мёрфи||3|Карла Эспарса|
4|Роб Фонт||4|Алекс Перес|||||4|Ирене Альдана||4|Женнифер Майя||4|Янь Сяонань|
5|Жозе Алду||5|Джозеф Бенавидес|||||5|Джулианна Пенья||5|Синтия Кальвильо||5|Маккензи Дерн|
6|Коди Гарбрандт||6|Брэндон Ройвал|||||6|Яна Куницкая||6|Джоан Колдервуд||5|Марина Родригес|
7|Марлон Мораис||7|Кай Кара-Франс|||||7|Кетлин Виейра||7|Вивиани Араужу||7|Нина Ансарофф|
8|Фрэнки Эдгар||8|Рожериу Бонторин|||||8|Миша Тейт||8|Джессика Ай||8|Клаудия Гаделья|
9|Педру Муньюс||9|Мэтт Шнелл|||||9|Сара Макмэнн||9|Роксанн Модаффери||9|Мишель Уотерсон|
10|Доминик Крус||10|Тим Эллиотт|||||10|Мейси Чиассон||10|Алекса Грассо||10|Тиша Торрес|
11|Мераб Двалишвили||11|Давид Дворжак|||||11|Лина Ленсберг||11|Андреа Ли||11|Аманда Рибас|
12|Рафаэл Ассунсао||12|Матеус Николау|||||12|Панни Киансад||12|Тайла Сантус||12|Анджела Хилл|
13|Джимми Ривера||13|Су Мудаэрцзи|||||13|Джулия Авила||13|Мэйси Барбер||13|Вирна Жандироба|
14|Марлон Вера||14|Амир Альбази|||||14|Карол Роса||14|Миранда Маверик||14|Аманда Лемус|
15|Коди Стейманн||15|Тайсон Нэм|||||15|Алексис Дэвис||15|Монтана Де Ла Роса||15|Фелис Херриг|
|||||||||||||||||
