Ф. И. О.|Титул, чин, звание|Время замещения должности
Стороженко Андрей Яковлевич|генерал-майор|12.10.1839—20.05.1842
Соболев Михаил Иванович|генерал-майор|20.05.1842—01.04.1844
Абрамович Игнатий Ефимович|генерал-майор|01.04.1844—28.08.1851
Горлов Василий Михайлович|генерал-майор|28.08.1851—25.11.1856
Аничков Владимир Иванович|генерал-майор|25.11.1856—30.11.1860
Трепов Фёдор Фёдорович|полковник|30.11.1860—10.03.1861
Розвадовский Константин Аполлонович|граф, генерал-майор|10.03.1861—19.09.1861
Пилсудский Константин Иванович|генерал-майор|19.09.1861—27.07.1862
Муханов Сергей Сергеевич|полковник|27.07.1862—20.03.1863
Левшин Лев Герасимович|генерал-майор|20.03.1863—04.01.1864
Фредерикс Платон Александрович|барон, генерал-майор|04.01.1864—21.07.1866
Власов Георгий Петрович|генерал-майор (генерал-лейтенант)|21.07.1866—08.03.1879
Бутурлин Николай Николаевич|генерал-майор|08.03.1879—12.04.1884
Толстой Сергей Иванович|генерал-майор|29.04.1884—13.02.1888
Клейгельс Николай Васильевич|полковник, и. д. (утверждён с производством в генерал-майоры в 1891)|16.02.1888—06.12.1895
Грессер Карл Аполлонович|полковник, и. д.|30.12.1895—04.05.1898
Лихачёв Александр Никодимович|полковник, и. д. (утверждён с производством в генерал-майоры 06.12.1901)|12.08.1898—1905
Мейер Пётр Петрович|полковник, и. д. (утверждён с производством в генерал-майоры 06.12.1909)|09.05.1905—15.08.1916
