Результат|Баланс|Противник|Метод|Раунд|Время|Турнир|Дата|Место
Победа|15-0|Uroš Jurišič (11-0)|Единогласное решение|3.0|5:00|KSW 58: Parnasse vs. Torres|30.01.2021|Łódź
Победа|14-0|Grzegorz Szulakowski (9-3)|KO (backfist)|1.0|1:27|KSW 52: Race|07.12.2019|Гливице
Победа|13-0|Hubert Szymajda (8-2)|TKO|1.0|3:52|KSW 48: Szymański vs. Parnasse|27.04.2019|Люблин
Победа|12-0|Marat Khasanov (4-5)|TKO|1.0|3:08|Fight Nights Global 91|27.12.2018|Москва
Победа|11-0|Muller da Silva Couto (13-5)|Противник сдался|||Golden Team Championship 3|10.03.2018|Люберцы
Победа|10-0|Rasul Samadov (0-1)|KO|1.0|2:47|Golden Team: Mytishchi Arena Cup|20.05.2017|Мытищи
Победа|9-0|Gergo Bodis (0-0)|Противник сдался|1.0|2:24|UOMMA — FighteRevolution Cup 2016: Team Russia vs. Team World|12.08.2016|Калиниград
Победа|8-0|Mirlan Tilekbaev (0-0)|KO|2.0|1:26|ProfSport: GPro 19|05.03.2016|Москва
Победа|7-0|Roman Mironenko (5-6)|Единогласное решение|2.0|5:00|MixFighter Challenge 1|04.10.2015|Калуга
Победа|6-0|Felipe Salvador Nsue Ayiugono (5-6)|KO (ciosy)|1.0|1:12|Russian MMA Union: New Horizons Grand Final|22.11.2014|Минск
Победа|5-0|Maxim Grabovich (1-1)|Единогласное решение|2.0|5:00|M-1 Global: Super-Stage Reality Show MixFighter|27.09.2014|Мытищи
Победа|4-0|Roman Mironenko (5-4)|Единогласное решение|2.0|5:00|M-1 Global: MixFighter Season 4|15.06.2014|Минск
Победа|3-0|Pavеl Masalski (1-4)|TKO|2.0|2:30|Mix Fighter: New Horizons Qualifying|27.05.2014|Минск
Победа|2-0|Ravil Gadjiev (0-0)|Единогласное решение|2.0|5:00|Real Steel 2013|14.09.2013|Дубна
Победа|1-0|Muslim Mubarakshoev (0-0)|TKO|1.0|4:45|Razdolie Cup 2|30.06.2013|Зеленоград
