Фильм|Бюджет|Кассовые сборы|Кассовые сборы|Кассовые сборы|Ссылки
Фильм|Бюджет|США и Канада|Другие страны|Сборы в мире|Ссылки
История игрушек|$30 млн|$191 796 233|$181 757 800|$373 554 033|[18][19]
Приключения Флика|$120 млн|$162 798 565|$200 460 294|$363 258 859|[20]
История игрушек 2|$90 млн|$245 852 179|$251 522 597|$497 374 776|[21]
Корпорация монстров|$115 млн|$289 916 256|$342 400 393|$632 316 649|[22]
В поисках Немо|$94 млн|$339 714 978|$531 300 000|$871 014 978|[23]
Суперсемейка|$92 млн|$261 441 092|$370 165 621|$631 606 713|[24]
Тачки|$120 млн|$244 082 982|$217 900 167|$461 983 149|[25]
Рататуй|$150 млн|$206 445 654|$417 280 431|$623 726 085|[26]
ВАЛЛ-И|$180 млн|$223 808 164|$297 503 696|$521 311 860|[27]
Вверх|$175 млн|$293 004 164|$442 094 918|$735 099 082|[28]
История игрушек 3|$200 млн|$415 004 880|$651 964 823|$1 066 969 703|[29]
Тачки 2|$200 млн|$191 452 396|$368 400 000|$559 852 396|[30]
Храбрая сердцем|$185 млн|$237 283 207|$301 700 000|$538 983 207|[31]
Университет монстров|$200 млн|$268 492 764|$475 066 843|$743 559 607|[32][33]
Головоломка|$175 млн|$356 461 711|$501 149 463|$857 611 174|[34]
Хороший динозавр|$175 млн|$123 087 120|$209 120 551|$332 207 671|[35][36]
В поисках Дори|$200 млн|$486 295 561|$542 275 328|$1 028 570 889|[37][38]
Тачки 3|$175 млн|$152 901 115|$231 029 541|$383 930 656|[39][40]
Тайна Коко|$175 млн|$209 726 015|$597 356 181|$807 082 196|[41][42]
Суперсемейка 2|$200 млн|$608 581 744|$634 223 615|$1 242 805 359|[43][44]
История игрушек 4|$200 млн|$434 038 008|$639 356 585|$1 073 394 593|[45][46]
Вперёд|$175-200 млн|$61 555 145|$80 381 763|$141 936 908|[47]
Душа|$150 млн||$111 700 000|$111 700 000|[48]
