№|Название|Длина (км)|Площадь бассейна (тыс. км²)|Средний расход воды в устье (тыс. м³/с)|Наибольший расход воды в устье (тыс. м³/с)|Твёрдый сток (млн т/год)
1.0|Амазонка|6992|7180|22000|36000.0|49800.0
2.0|Нил[18]|6670|2870|283|640.0|11050.0
3.0|Янцзы[18]|5800|1818|3400|9020.0|50000.0
4.0|Миссисипи — Миссури[18]|5969|3229|1900|5900.0|50000.0
5.0|Хуанхэ[18]|5464|752|257|2200.0|38000.0
6.0|Обь — Иртыш|5410|2990|1270|4300.0|1500.0
7.0|Парана (от истоков Паранаибы)|4380|2970|1500|6500.0|12900.0
8.0|Меконг|4500|810|1200|3000.0|16960.0
9.0|Амур (от истоков Аргуни)[18]|4440|1855|1090|4000.0|2490.0
10.0|Лена|4400|2490|1700|20000.0|1540.0
11.0|Конго (с Луалабой)[18]|4320|3691|4000|7500.0|6470.0
12.0|Маккензи (от истоков Пис-Ривер)[18]|4240|1760|1400||1500.0
13.0|Нигер|4160|2092|1200|3500.0|6700.0
14.0|Енисей (от истоков Малого Енисея)|4102|2580|1980|15400.0|1320.0
15.0|Волга|3530|1360|770|5200.0|2580.0
16.0|Инд|3180|960|660|3000.0|43540.0
17.0|Юкон|3180|900|630||8800.0
18.0|Дунай|2850|817|670|2000.0|6750.0
19.0|Ориноко|2730|994|2900|5500.0|8650.0
20.0|Ганг (с Брахмапутрой)|2700|2055|3800||217720.0
21.0|Замбези|2660|1330|1600||10000.0
22.0|Муррей|2574|1072|77||3190.0
23.0|Днепр|2201|504|167||
