Unnamed: 0|Муниципальное образование|Площадь(км²)|Население(чел.) 2021 г.(Росстат)
Города:|Города:|Города:|Города:
1|город-курорт Пятигорск|104|↘212 305[1]
2|город-курорт Кисловодск|72|↘134 639[1]
3|город-курорт Ессентуки|50|↗114 824[1]
4|город Минеральные Воды|51|↘74 141[29]
5|город Георгиевск|25|↘65 633[1]
6|город-курорт Железноводск|93|↗54 134[1]
7|город Лермонтов|31|↗25 290[1]
Районы:|Районы:|Районы:|Районы:
1|Георгиевский район|1920|↘162 981[1]
2|Минераловодский район|1443|↘137 732[29]
3|Предгорный район|2047|↘109 332[1]
Кавказско-Минераловодская агломерация|Кавказско-Минераловодская агломерация|5836|1 091 011
Процент от общей численности населения Ставропольского края|Процент от общей численности населения Ставропольского края|39.1%|39.1%
