Позиция|Название|Владелец
1|РЕН ТВ|Национальная Медиа Группа
2|Спас|Финансовое хозяйственное управление Русской Православной Церкви и ООО «СПАС — Медиа»
3|СТС|«ЮТВ Холдинг», «СТС Медиа»
4|Домашний|«ЮТВ Холдинг», «СТС Медиа»
5|ТВ-3|Газпром-Медиа Холдинг
6|Пятница!|Газпром-Медиа Холдинг
7|Звезда|ОАО «ТРК ВС РФ „Звезда“»
8|Мир|ЗАО «Межгосударственная телерадиокомпания „Мир“»
9|ТНТ|Газпром-Медиа Холдинг
10|Муз-ТВ|«ЮТВ Холдинг», «СТС Медиа»
11|Кубань 24 (в кабельном вещании Краснодарского края)|ГУП КК «Телерадиокомпания „НТК“»
