Страна иликосмическоеагентство|Название|Запуск|Примечание
СССР|Венера-1|12 февраля 1961|Первый пролёт мимо Венеры. Из-за потери связи научная программа не выполнена
США|Маринер-2|27 августа 1962|Пролёт. Сбор научной информации
СССР|Зонд-1|2 апреля 1964|Пролёт. Сбор научной информации
СССР|Венера-2|12 ноября 1965|Пролёт. Сбор научной информации
СССР|Венера-3|16 ноября 1965|Достижение Венеры. Сбор научной информации
СССР|Венера-4|12 июня 1967|Атмосферные исследования и попытка достижения поверхности (аппарат раздавлен давлением, о котором до этих пор ничего не было известно)
США|Маринер-5|14 июня 1967|Пролёт с целью исследований атмосферы
СССР|Венера-5|5 января 1969|Спуск в атмосфере, определение её химического состава
СССР|Венера-6|10 января 1969|Спуск в атмосфере, определение её химического состава
СССР|Венера-7|17 августа 1970|Первая мягкая посадка на поверхность планеты. Сбор научной информации
СССР|Венера-8|27 марта 1972|Мягкая посадка. Пробы грунта.
США|Маринер-10|4 ноября 1973|Пролёт к Меркурию, научные исследования
СССР|Венера-9|8 июня 1975|Мягкая посадка модуля и искусственный спутник Венеры. Первые чёрно-белые фотографии поверхности.
СССР|Венера-10|14 июня 1975|Мягкая посадка модуля и искусственный спутник Венеры. Чёрно-белые фотографии поверхности.
США|Пионер-Венера-1|20 мая 1978|Искусственный спутник, радиолокация поверхности
США|Пионер-Венера-2|8 августа 1978|Вхождение в атмосферу, научные исследования
СССР|Венера-11|9 сентября 1978|Мягкая посадка модуля, пролёт аппарата
СССР|Венера-12|14 сентября 1978|Мягкая посадка модуля, пролёт аппарата
СССР|Венера-13|30 октября 1981|Мягкая посадка модуля. Первая запись звука на поверхности и первая передача цветного панорамного изображения
СССР|Венера-14|4 ноября 1981|Мягкая посадка модуля. Передача цветного панорамного изображения
СССР|Венера-15|2 июня 1983|Искусственный спутник Венеры, радиолокация
СССР|Венера-16|7 июня 1983|Искусственный спутник Венеры, радиолокация
СССР|Вега-1|15 декабря 1984|Исследование атмосферы зондом-аэростатом, пролёт аппарата к комете Галлея
СССР|Вега-2|21 декабря 1984|Исследование атмосферы зондом-аэростатом, пролёт аппарата к комете Галлея
США|Магеллан|4 мая 1989|Искусственный спутник Венеры, подробная радиолокация
США|Галилео|18 октября 1989|Пролёт мимо на пути к Юпитеру, научные исследования
США|Кассини-Гюйгенс|15 октября 1997|Пролёт мимо на пути к Сатурну
США|Мессенджер|3 августа 2004|Пролёт мимо на пути к Меркурию, фото издалека
ЕКА|Венера-экспресс|9 ноября 2005|Искусственный спутник Венеры, радиолокация южного полюса
Япония|Акацуки|21 мая 2010|Исследование атмосферы. Попытка выхода на орбиту Венеры в 2010 году закончилась неудачей. После повторной попытки 7 декабря 2015 года аппарат смог удачно выйти на заданную орбиту
США|Паркер|12 августа 2018|Несколько гравитационных манёвров для уменьшения перигелия, попутное изучение ударной волны магнитосферы
