Сезон|Уровень|Лига|.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}Поз.|Кубок Бельгии|Суперкубок|Европейские кубки|Европейские кубки.1
2006–07|1|1 дивизион|3-е|||3 Кубок вызова ФИБА|RS
2007–08|1|1 дивизион|1-е|||2 Кубок Европы УЛЕБ|RS
2008–09|1|1 дивизион|1-е|Победитель||2 Кубок Европы|T16
2009–10|1|1 дивизион|1-е|Финалист|Финалист|2 Кубок Европы|RS
2010–11|1|1 дивизион|1-е|Полуфиналист|Победитель|1 Евролига|RS
2011–12|1|1 дивизион|2-е||Финалист|1 Евролига|RS
2012–13|1|1 дивизион|3-е|Топ 16||2 Кубок Европы|RS
2013–14|1|1 дивизион|5-е|Полуфиналист||2 Кубок Европы|RS
2014–15|1|1 дивизион|5-е|Четвертьфиналист||2 Кубок Европы|RS
2015–16|1|1 дивизион|5-е|Четвертьфиналист||2 Кубок Европы|RS
2016–17|1|1 дивизион|4-е|Четвертьфиналист||3 Лига чемпионов|RS
2017–18|1|1 дивизион|3-е|Полуфиналист||4 Кубок Европы ФИБА|RS
2018–19|1|1 дивизион|5-е|Полуфиналист||3 Лига чемпионов|QR3
2018–19|1|1 дивизион|5-е|Полуфиналист||4 Кубок Европы ФИБА|RS
2019–20|1|1 дивизион|5-е[a]|Финалист||4 Кубок Европы ФИБА|R2
