Год|Турнир|Место проведения|Категория|Результат|Место
1998|Чемпионат мира|Дубай|до 52 кг|105|
2000|Летние Паралимпийские игры 2000|Сидней|до 52 кг|1175|
2002|Чемпионат мира|Куала-Лумпур|до 48 кг|110|
2004|Летние Паралимпийские игры 2004|Афины|до 48 кг|110|
2006|Чемпионат мира|Пусан|до 52 кг|120|
2008|Летние Паралимпийские игры 2008|Пекин|до 52 кг|1275|
2010|Чемпионат мира|Куала-Лумпур|до 60 кг|135|
2012|Летние Паралимпийские игры 2012|Лондон|до 60 кг|135|
2014|Чемпионат мира|Дубай|до 61 кг|128|
2016|Летние Паралимпийские игры 2016|Рио-де-Жанейро|до 55кг|130|
2017|Чемпионат мира|Мехико|до 55кг|123|
2019|Чемпионат мира|Нур-Султан|до 55кг|.mw-parser-output .ts-comment-commentedText{border-bottom:1px dotted;cursor:help}@media(hover:none){.mw-parser-output .ts-comment-commentedText:not(.rt-commentedText){border-bottom:0;cursor:auto}}DNF|DNF
2021|Летние Паралимпийские игры 2020|Токио|до 61 кг|131|
