Страна|Эксп.|Стр.|Планы до 2030 года|Перспектива до 2050 года|Закр.|Эксплуатирующие организации|Типы реакторов|Поставщики топлива
Аргентина[10]|3|1|2|2|0|Nucleoeléctrica Argentina|2PHWR, 1CANDU|CONUAR
Армения[11][12]|1|0|1|0|1|Айкакан атомайин электракаян|ВВЭР|ТВЭЛ
Бангладеш[13][14]|0|2|1|0|0|—|ВВЭР|ТВЭЛ
Белоруссия|1|1|0|0|0|—|ВВЭР|ТВЭЛ
Бельгия[15]|7|0|0|0|1|Electrabel|PWR|Areva
Болгария[16]|2|0|1|0|4|НЕК ЕАД (болг.)русск.|ВВЭР|ТВЭЛ
Бразилия[17]|2|1|0|4|0|Eletronuclear|PWR|Siemens
Великобритания[18][19]|15|2|0|0|30|British Energy (англ.)русск.|14AGR, 1PWR|British Nuclear Fuels (англ.)русск.
Венгрия|4|0|2ВВЭР|0|0|MVM Group (англ.)русск.|ВВЭР|ТВЭЛ
Германия[20]|6|0|0|0|30|E.ON, EnBW, RWE, Vattenfall (англ.)русск.|5PWR, 1BWR|Siemens
Египет|0|0|4ВВЭР|0|0|—|ВВЭР|ТВЭЛ
Индия[21][22]|23|6[23]|18 (2ВВЭР)|27|0|Nuclear Power Corporation of India|18PHWR, 2BWR, 2ВВЭР|Nuclear Fuel Complex
Индонезия|0|0|1|4|0|—|—|—
Иран|1|1|1ВВЭР|6|0|NPPD совместно с АСЭ|ВВЭР|ТВЭЛ
Испания[24]|7|0|0|0|3|ANAV, CNAT, Iberdrola, Nuclenor (исп.)русск.|6PWR, 1BWR|ENUSA (исп.)русск., Westinghouse
Канада[25]|19|0|2|3|6|Ontario Power Generation (англ.)русск., Bruce Power (англ.)русск., Hydro-Québec, NB Power (англ.)русск.|CANDU|Cameco
Китай[26][27]|50|12|41 (4ВВЭР)|36|0|CGNPC (англ.)русск., CNNC|20CPR, 7CNP, 6PWR, 2CANDU, 2ВВЭР, 1БН-20,|Westinghouse, Areva, CNNC, ТВЭЛ
Мексика[28]|2|0|0|2|0|Comisión Federal de Electricidad (англ.)русск.|BWR|General Electric
Нидерланды[29]|1|0|0|1|1|EPZ|PWR|Siemens
ОАЭ|1|3|0|10|0|—|PWR|
Пакистан[30]|5|2|1|0|0|PAEC (англ.)русск.|4PWR, 1CANDU|CNNC, PAEC (англ.)русск.
Польша[31]|0|0|0|6|0|—|—|—
Россия[32][33]|38|3|11 10ВВЭР, 1БН-1200М[34]|0|8|Росэнергоатом|21ВВЭР, 9РБМК, 3ЭГП-6, 2КЛТ-40С, 1БН-600, 1БН-800|ТВЭЛ
Румыния[35]|2|0|2|1|0|Nuclearelectrica|CANDU|FCN
Словакия[36]|4|2|0|1|3|Slovenské elektrárne (англ.)русск.|ВВЭР|ТВЭЛ
Словения[37]|1|0|0|1|0|Nuklearna Elektrarna Krško|PWR|Westinghouse
США[38][39]|94|2|0|0|38|25 компаний, крупнейшие: Exelon (англ.)русск., Progress Energy (англ.)русск., FirstEnergy (англ.)русск., Energy Future Holdings (англ.)русск., Xcel Energy (англ.)русск.|63PWR, 32BWR|Areva, Westinghouse, Babcock & Wilcox (англ.)русск., General Electric
Тайвань[40]|4|0|0|0|2|Taiwan Power Company (англ.)русск.|2BWR, 2PWR,|General Electric, Westinghouse
Турция|0|2|2ВВЭР|0|0|—|ВВЭР|ТВЭЛ
Украина[41]|15|2|0|0|4|Енергоатом|ВВЭР|ТВЭЛ, Westinghouse
Финляндия[42]|4|1|1ВВЭР|0|0|TVO (англ.)русск., Fortum|2BWR, 2ВВЭР|Westinghouse, ТВЭЛ
Франция[43]|56|1|0|1|14|Électricité de France|PWR|Areva
Чехия[44]|6|0|2ВВЭР|1|0|CEZ Group|ВВЭР|ТВЭЛ
Швейцария[45]|4|0|0|3|2|Swissnuclear|3PWR, 1BWR|Westinghouse, General Electric
Швеция[46]|6|0|0|0|6|Vattenfall (англ.)русск.|5BWR, 2PWR|Westinghouse
Южная Корея[47][48][49]|24|4|8|0|2|KHNP (англ.)русск.|21PWR, 3CANDU|Korea Nuclear Fuel (англ.)русск.
ЮАР[50][51][52]|2|0|0|0|0|Eskom (англ.)русск.|PWR|Westinghouse
Япония[53][54][55]|33|2|9|0|27|TEPCO, Kyushu (англ.)русск., Chubu, Tohoku (англ.)русск., Shikoku (англ.)русск., KEPCO, Hokuriku (англ.)русск., Chugoku, Hokkaido (англ.)русск., JAPC (англ.)русск.|13BWR, 4ABWR, 16PWR|Toshiba, JFNL (англ.)русск., Mitsubishi Heavy Industries, Hitachi, Nuclear Fuel Industries
В мире|443|50|118|103|187|||
