Команда|Город|Состав
Разные|Москва|Александр Ваш, Рустам Джибилов, Дмитрий Журавлёв, Валерий Артюхов
Курские|Курск|Дмитрий Пустовалов, Семён Блинкин, Кирилл Шуклин, Дмитрий Растопчинов
Лютые|Тамбов|Никита Ватолин, Николай Сипачёв, Вадим Попов, Алексей Котов
Такие|Томск|Руслан Мирзаханов, Сергей Игуменшев, Евгений Гольц, Сергей Слесаренко
Минские|Минск|Максим Заяц, Сергей Горох, Артём Гаус, Сергей Шевелев
Тайные|Санкт-Петербург|Александра Грейнер, Вероника Алексеева, Анна Захарова, Дарья Мартыненко
Кайфовые|Краснодар|Екатерина Кутюк, Евгений Шитухин, Александр Шабанов, Арсен Арутюнян
Трезвые|Брянск|Александр Еланский, Сергей Комаров, Александр Никитин, Антон Скатенок
Сносные (3 сезон - несносные)|Ростов-на-Дону|Сергей Скачков, Дмитрий Горький, Антон Остерников, Алексей Ахметьев
Громкие|Воронеж|Сергей Брысев, Сергей Нерсесьян, Антон Ларин, Андрей Солгалов
Лёгкие|Воронеж|Илья Лёвченко, Владимир Абаджян, Михаил Гришин, Дарья Тузовская
Фантастические|Санкт-Петербург|Григорий Комаревцев, Александр Фукс, Игорь Бобков, Кирилл Егоров
Деревенские|Д. Воскресенское|Марина Кострова, Ксения Плеханова, Ольга Курочкина, Евгения Иванова
Комфортные|Москва|Никита Артемьев, Павел Беспалов, Татьяна Нежельская, Александр Бударин
Крафтовые|Москва|Антон Козополянский, Алексей Сергеев, Анастасия Москвитина, Артём Котов
Свежие|Ярославль|Артём Гарин, Александр Гонозов, Мария Комар, Даниил Казаков
Южные|Астрахань|Денис Светличкин, Дмитрий Выборнов, Владимир Сопинский, Самат Бупеев
