Полное наименование организации на русском языке|Сокращенное наименование на русском языке|Сокращенное наименование на оригинальном языке|Полное наименование организации на оригинальном языке|Год создания|Период(ы) членства России (РСФСР)|Unnamed: 6
Азиатская парламентская ассамблея|АПА|…|…|1999|Да|
Азиатско-Тихоокеанский парламентский форум|АТПФ|…|…|1993|1993 — н.в.|
Балтийская ассамблея|Балтийская ассамблея|…|…|1991|Нет|
Всемирная ассоциация операторов атомных электростанций|ВАО АЭС|WANO|World Association of Nuclear Operators|1989|Да|
Всемирная торговая организация|ВТО|WTO|World Trade Organization|1995|Да (с 2012 года)|
Международная авиационная федерация|ФАИ|FAI|Fédération Aéronautique Internationale|1905|Да|
Международная организация морской спутниковой связи|ИНМАРСАТ|…|…|1979|…|
Международная организация по предпринимательству и инвестициям|…|INOBI|International Organization on Business and Investment|…|…|
Международная организация уголовной полиции — Интерпол|Интерпол|ICPO, OIPC, Interpol|International Criminal Police Organization/ Organisation Internationale de Police Criminelle|1923|1990 — н.в.|
Международная федерация инженеров-консультантов (строительство)|ФИДИК|…|…|1913|…|
Международное бюро мер и весов|МБМВ|BIPM|Bureau international des poids et mesures|1875|1875 — н.в.|
Международное общество авиационной электросвязи|…|SITA|Société Internationale de Télécommunications Aéronautiques|1949|…|
МЕРКОСУР|-|Mercosur|Mercado Comun del Sur (пер с исп. «Южноамериканский общий рынок»)|1991|Нет|
Международный союз по охране новых сортов растений|УПОВ|UPOV|Union Internationale pour la protection des obtentions végétales|1961|1998|
Организация американских государств|ОАГ|OAS|Organization of American states|1948|Нет|
Организация Восточно-карибских государств|…|OECS|Organisation of Eastern Caribbean States|1981|Нет|
Организация Договора о коллективной безопасности|ОДКБ|…|…|1992|1992 — н.в.|
Организация за демократию и экономическое развитие — ГУАМ|ГУАМ|GUAM|Organization for Democracy and Economic Development — GUAM|1997|Нет|
Организация Объединённых Наций|ООН|UN|United Nations|1945|24 октября 1945 - н.в.|
Организация Объединённых Наций, Всемирная метеорологическая организация|ВМО|WMO|World Meteorological Organization|1950|Да|
Организация Объединённых Наций, Всемирная организация здравоохранения|ВОЗ|WHO|World Health Organization|1946|Да|
Организация Объединённых Наций, Всемирная организация интеллектуальной собственности|ВОИС|WIPO|World Intellectual Property Organization|1967|Да|
Организация Объединённых Наций, Всемирный почтовый союз|ВПС|UPU|Universal Postal Union|1874|Да|
Организация Объединённых Наций, Группа Всемирного банка|…|…|World Bank Group|1944|Да|
Организация Объединённых Наций, Международное агентство по атомной энергии|МАГАТЭ|IAEA|International Atomic Energy Agency|1957|Да|
Организация Объединённых Наций, Международная морская организация|ИМО|IMO|International Maritime Organization|1958|1958|
Организация Объединённых Наций, Международная организация гражданской авиации|ИКАО|ICAO|International Civil Aviation Organization|1947|1970|
Организация Объединённых Наций, Международная организация труда|МОТ|ILO|International Labour Organization|1919|1934|
Организация Объединённых Наций, Международный валютный фонд|МВФ|IMF|International Monetary Fund|1945|Да|
Организация Объединённых Наций, Международный союз электросвязи|МСЭ|ITU|International Telecommunication Union|1865|Да|
Организация Объединённых Наций, Продовольственная и сельскохозяйственная организация|ФАО|FAO|Food and Agriculture Organization|1945|Да|
Организация объединённых наций, Организация Объединённых Наций по вопросам образования, науки и культуры|ЮНЕСКО|UNESCO|United Nations Educational, Scientific and Cultural Organization|1946|Да|
Организация объединённых наций, Организация Объединённых Наций по промышленному развитию|ЮНИДО|UNIDO|United Nations Industrial Development Organization|1966|Да|
Всемирная федерация профсоюзов|ВФП|WFTD|World Federation of Trade Unions|1945|Да|
Организация по безопасности и сотрудничеству в Европе|ОБСЕ|OSCE|Organization for Security and Co-operation in Europe, фр. Organisation pour la sécurité et la coopération en Europe|1975|1975 — н.в.|
Организация Североатлантического договора (Североатлантический альянс)|НАТО|NATO|North Atlantic Treaty Organization|1949|Нет|
Организация стран-производителей и экспортёров нефти|ОПЕК|OPEC|…|1960|Нет|
Организация Черноморского экономического сотрудничества|ОЧЭС|…|…|1999|1999 — н.в.|
Ротари Интернешнл|…|…|Rotary International|1905|1990|
Северный совет министров|…|…|…|1971|Нет|
Североамериканская зона свободной торговли|НАФТА|NAFTA|…|1992|Нет|
Совет Баренцева/Евроарктического региона|СБЕР|BEAR|The Barents Euro-Arctic Region|1993|1993 — н.в.|
Совет государств Балтийского моря|СГБМ|…|…|1991|1991 — н.в.|
Совет Европы|-|…|Counsil of Europe|1949|Да|
Совет сотрудничества арабских государств Персидского залива|ССАГПЗ|GCC|Gulf Cooperation Council|1981|Нет|
Содружество демократического выбора|СДВ|…|…|2005|Нет|
Содружество наций (Британское содружество)|…|…|Commonwealth of Nations|1926/1931/1949|Нет|
Содружество независимых государств|СНГ|CIS|Содружество Независимых Государств (Commonwealth of Indenpendent States)|1991|1991 — н.в.|
Союз арабского Магриба|САМ|…|…|1989|Нет|
Союз для Средиземноморья|…|…|Union pour la Méditerranée|2008|Нет|
Тихоокеанский союз|…|…|Pacific Union|…|Нет|
Форум «Азия-Европа»|ФАЕ|АСЕМ|Asia-Europe Meeting|1996|2010 — н.в.|
Южноамериканское сообщество наций|…|CSN|The South American Community of Nations|2004|Нет|
Международная организация по миграции|МОМ|IOM|International Organization of Migration|1951||
