Станция / База|Страна|01.07.2008|01.07.2014
Бельграно II (Belgrano II)|Аргентина|21|12
Хубани (Jubany)|Аргентина|20|20
Эсперанса (Esperanza)|Аргентина|55|55
Марамбио (Marambio)|Аргентина|55|55
Оркадас (Orcadas)|Аргентина|14|14
Сан-Мартин (San-Martin)|Аргентина|19|20
Кейси (Casey)|Австралия|19|20
Дейвис (Davis)|Австралия|19|22
Моусон (Mawson)|Австралия|24|20
Команданте Феррас (Commandante Ferraz)|Бразилия|12|12
Капитан-Артуро-Прат (Capitan Arturo Prat)|Чили|8|9
Хенераль-Бернардо-О’Хиггинс (General Bernando O’Higgins)|Чили|18|16
Фрей (Presidente Eduardo Frei Montalva)|Чили|82|80
Чанчэн (Great Wall)|Китай|40|14
Чжуншань (Zhongshan)|Китай|25|15
Ноймайер (Neumayer)|Германия|9|9
Дюмон-д’Юрвиль (Dumont d’Urville)|Франция|33|26
Конкордия (Concordia)|Италия  Франция|12|13
Халли (Halley)|Великобритания|16|15
Ротера (Rothera)|Великобритания|22|22
Бхарати (Bharati)|Индия|…|15
Маитри (Maitri)|Индия|25|25
Сёва (Showa)|Япония|40|28
Чан Бого (장보고)|Республика Корея|…|16
Кинг Седжон (King Sejong)|Республика Корея|16|18
Тролл (Troll)|Норвегия|6|7
Скотт-Бейс|Новая Зеландия|12|10
Арцтовский (Arctowski)|Польша|15|12
Беллинсгаузена|Россия|25|25
Мирный|Россия|60|60
Новолазаревская|Россия|30|30
Прогресс|Россия|20|20
Восток|Россия|13|13
Академик Вернадский (Vernadsky), бывший Фарадей (Faraday)|Украина|12|12
Артигас (Artigas)|Уругвай|9|9
Амундсен-Скотт (Amundsen-Scott)|США|86|75
Мак-Мердо (McMurdo)|США|250|250
Палмер (Palmer)|США|10|12
САНАЭ IV (SANAE IV)|ЮАР|10|10
