Партнёр|Экспорт|Импорт|Баланс
Всего|210 715|173 202|+37 513
Европа|118 486|126 898|-8412
Еврозона|93 706|109 930|-16 224
Германия|39 692|48 552|-8860
Франция|14 008|13 428|+580
Италия|12 694|16 700|-4006
Австрия|5939|7599|-1660
Бельгия|5833|2975|+2858
Испания|5547|4795|+751
Нидерланды|4949|4913|+36
Ирландия|1011|7639|-6628
Португалия|804|842|-38
Финляндия|778|542|+236
Греция|770|149|+621
Словакия|564|906|-343
Не еврозона|19 621|14 451|+5170
Великобритания|11 432|6393|+5039
Польша|2166|1825|+342
Чехия|1450|2256|-807
Швеция|1425|1121|+304
Венгрия|928|1081|-152
Дания|915|745|+171
Румыния|697|592|+105
Россия|2018|370|+1648
Турция|1670|1318|+352
Норвегия|694|304|+390
Азия|45 389|27 454|+17 935
Ближний Восток|9801|1767|+8034
ОАЭ|3010|791|+2220
Саудовская Аравия|2263|165|+2098
Израиль|915|220|+695
Катар|818|287|+532
Китай|9844|12 277|-2433
Япония|7299|3000|+4299
Гонконг|4848|1126|+3722
Сингапур|3392|1677|+1715
Республика Корея|2786|807|+1979
Китайская Республика|1657|1046|+611
Индия|1613|1281|+333
Таиланд|1016|898|+118
Малайзия|746|483|+263
Вьетнам|538|1467|-929
Северная Америка|34 827|14 933|+19 895
США|31 454|14 244|+17 210
Канада|3374|689|+2685
Латинская Америка|5944|2077|+3867
Бразилия|1910|609|+1301
Мексика|1344|729|+615
Аргентина|664|65|+599
Колумбия|466|161|+304
Африка|3344|1416|+1928
Египет|865|63|+802
ЮАР|699|306|+393
Марокко|295|162|+133
Нигерия|142|324|-182
Океания|2457|302|+2154
Австралия|2230|193|+2037
